Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:19:23 AM,01/01/2016 02:56:45 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.88440820293128,40.873430212499706,Closed,0 days 02:37:22.000000000,0
01/01/2016 12:19:41 AM,01/01/2016 08:58:56 AM,Unspecified,Loud Music/Party,Noise - Street/Sidewalk,NYPD,,,Closed,0 days 08:39:15.000000000,0
01/01/2016 12:20:00 AM,01/02/2016 12:00:00 PM,BROOKLYN,12 Dead Animals,Sanitation Condition,DSNY,-73.95865674850683,40.70983166603901,Closed,1 days 11:40:00.000000000,0
01/01/2016 12:20:16 AM,01/01/2016 12:55:14 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.993551896191,40.69759725767173,Closed,0 days 00:34:58.000000000,0
01/01/2016 12:20:34 AM,01/01/2016 04:45:37 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.93617051041467,40.830677774800186,Closed,0 days 04:25:03.000000000,0
01/01/2016 12:20:47 AM,01/01/2016 03:18:43 AM,BROOKLYN,Loud Music/Party,Noise - Commercial,NYPD,-73.9933960904207,40.66859873118069,Closed,0 days 02:57:56.000000000,0
01/01/2016 12:21:22 AM,01/01/2016 03:15:21 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.77629630110151,40.763067728559314,Closed,0 days 02:53:59.000000000,0
01/01/2016 12:21:42 AM,01/01/2016 03:52:03 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.94324171872209,40.83971431784293,Closed,0 days 03:30:21.000000000,0
01/01/2016 12:22:40 AM,01/01/2016 03:45:12 PM,MANHATTAN,Banging/Pounding,Noise - Residential,NYPD,-73.94518056141217,40.79376315335256,Closed,0 days 15:22:32.000000000,0
01/01/2016 12:22:50 AM,01/01/2016 03:18:41 AM,BROOKLYN,Loud Music/Party,Noise - Commercial,NYPD,-73.9933960904207,40.66859873118069,Closed,0 days 02:55:51.000000000,0
01/01/2016 12:23:10 AM,01/01/2016 01:03:59 AM,STATEN ISLAND,Banging/Pounding,Noise - Residential,NYPD,-74.23937781955117,40.5089560279142,Closed,0 days 00:40:49.000000000,0
